COMMAND    PID           USER   FD   TYPE             DEVICE SIZE/OFF   NODE NAME
Mail       283  curtisjenkins   27u  IPv4 0xe3cb4a4ba2c250e7      0t0    TCP 10.150.51.180:53416->imap-po.sys.comcast.net:imap (ESTABLISHED)
Mail       283  curtisjenkins   33u  IPv4 0xe3cb4a4ba2c250e7      0t0    TCP 10.150.51.180:53416->imap-po.sys.comcast.net:imap (ESTABLISHED)
Mail       283  curtisjenkins   51u  IPv4 0xe3cb4a4bbbc7d2f7      0t0    TCP 10.150.51.180:60992->65.55.174.170:imaps (CLOSED)
Mail       283  curtisjenkins   52u  IPv4 0xe3cb4a4ba250c0e7      0t0    TCP 10.150.51.180:53418->imap-po.sys.comcast.net:imap (ESTABLISHED)
Mail       283  curtisjenkins   53u  IPv4 0xe3cb4a4ba250c0e7      0t0    TCP 10.150.51.180:53418->imap-po.sys.comcast.net:imap (ESTABLISHED)
Mail       283  curtisjenkins   61u  IPv4 0xe3cb4a4ba2efc7df      0t0    TCP 10.150.51.180:53423->imap-po.sys.comcast.net:imap (ESTABLISHED)
Mail       283  curtisjenkins   71u  IPv4 0xe3cb4a4bbbc7d2f7      0t0    TCP 10.150.51.180:60992->65.55.174.170:imaps (CLOSED)
Mail       283  curtisjenkins   73u  IPv4 0xe3cb4a4ba2efc7df      0t0    TCP 10.150.51.180:53423->imap-po.sys.comcast.net:imap (ESTABLISHED)
Mail       283  curtisjenkins   79u  IPv4 0xe3cb4a4ba242e507      0t0    TCP 10.150.51.180:53424->imap-po.sys.comcast.net:imap (ESTABLISHED)
Mail       283  curtisjenkins   80u  IPv4 0xe3cb4a4ba242e507      0t0    TCP 10.150.51.180:53424->imap-po.sys.comcast.net:imap (ESTABLISHED)
Mail       283  curtisjenkins  102u  IPv4 0xe3cb4a4bbbcd60e7      0t0    TCP 10.150.51.180:60994->65.55.174.170:imaps (CLOSED)
Mail       283  curtisjenkins  103u  IPv4 0xe3cb4a4bbbcd60e7      0t0    TCP 10.150.51.180:60994->65.55.174.170:imaps (CLOSED)
Mail       283  curtisjenkins  125u  IPv4 0xe3cb4a4ba1e389ef      0t0    TCP 10.150.51.180:49468->yk-in-f108.1e100.net:imaps (ESTABLISHED)
Mail       283  curtisjenkins  126u  IPv4 0xe3cb4a4ba1e389ef      0t0    TCP 10.150.51.180:49468->yk-in-f108.1e100.net:imaps (ESTABLISHED)
CalendarA  287  curtisjenkins   12u  IPv4 0xe3cb4a4bbbbd47df      0t0    TCP 10.150.51.180:51041->atl14s39-in-f1.1e100.net:https (ESTABLISHED)
CalendarA  287  curtisjenkins   13u  IPv4 0xe3cb4a4bbbbd47df      0t0    TCP 10.150.51.180:51041->atl14s39-in-f1.1e100.net:https (ESTABLISHED)
SystemUIS  298  curtisjenkins    9u  IPv4 0xe3cb4a4b9973236f      0t0    UDP *:*
SystemUIS  298  curtisjenkins   10u  IPv4 0xe3cb4a4b99733447      0t0    UDP *:*
SystemUIS  298  curtisjenkins   13u  IPv4 0xe3cb4a4b997336af      0t0    UDP *:58360
SystemUIS  298  curtisjenkins   15u  IPv4 0xe3cb4a4b99732107      0t0    UDP *:*
sharingd   304  curtisjenkins   15u  IPv4 0xe3cb4a4b9a9a74ff      0t0    UDP *:*
sharingd   304  curtisjenkins   19u  IPv4 0xe3cb4a4b9a9a7297      0t0    UDP *:*
WiFiAgent  469  curtisjenkins    7u  IPv4 0xe3cb4a4b9a9a9447      0t0    UDP *:*
plugin_ho  725  curtisjenkins   15u  IPv4 0xe3cb4a4ba2c262f7      0t0    TCP 10.150.51.180:51454->209-20-75-76.slicehost.net:https (CLOSE_WAIT)
plugin_ho  725  curtisjenkins   18u  IPv4 0xe3cb4a4ba2c262f7      0t0    TCP 10.150.51.180:51454->209-20-75-76.slicehost.net:https (CLOSE_WAIT)
Notes      754  curtisjenkins   14u  IPv4 0xe3cb4a4ba2a647df      0t0    TCP 10.150.51.180:53414->yv-in-f109.1e100.net:imaps (ESTABLISHED)
Notes      754  curtisjenkins   15u  IPv4 0xe3cb4a4ba2d63bff      0t0    TCP 10.150.51.180:53406->imap-po.sys.comcast.net:imap (ESTABLISHED)
Notes      754  curtisjenkins   16u  IPv4 0xe3cb4a4ba294e0e7      0t0    TCP 10.150.51.180:53425->imap-po.sys.comcast.net:imap (ESTABLISHED)
Notes      754  curtisjenkins   17u  IPv4 0xe3cb4a4ba294e0e7      0t0    TCP 10.150.51.180:53425->imap-po.sys.comcast.net:imap (ESTABLISHED)
Notes      754  curtisjenkins   18u  IPv4 0xe3cb4a4bbbbdabff      0t0    TCP 10.150.51.180:51044->207.46.10.10:imaps (ESTABLISHED)
Notes      754  curtisjenkins   19u  IPv4 0xe3cb4a4bbbbdabff      0t0    TCP 10.150.51.180:51044->207.46.10.10:imaps (ESTABLISHED)
Notes      754  curtisjenkins   25u  IPv4 0xe3cb4a4ba2a647df      0t0    TCP 10.150.51.180:53414->yv-in-f109.1e100.net:imaps (ESTABLISHED)
Notes      754  curtisjenkins   36u  IPv4 0xe3cb4a4ba2d63bff      0t0    TCP 10.150.51.180:53406->imap-po.sys.comcast.net:imap (ESTABLISHED)
node      1112  curtisjenkins   11u  IPv6 0xe3cb4a4b9c72a9ff      0t0    TCP *:xprint-server (LISTEN)
